"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.405899333E0,1.166563377E-2,1.547348678E-2,5.504627287E-2,5.835758701E-2
1.415895333E0,1.142582484E-2,4.561997652E-3,6.168930371E-2,6.290414524E-2
1.425891333E0,1.606997587E-2,1.013322473E-2,4.753494878E-2,5.119079725E-2
1.435887333E0,1.891713135E-2,1.928470194E-2,1.138804634E-2,2.931629559E-2
1.445882333E0,3.404979855E-3,1.811525881E-2,-1.879762888E-2,2.632693186E-2
1.455878333E0,-2.666768879E-3,2.276321054E-3,-1.824214339E-2,1.857603535E-2
1.465874333E0,-1.239156559E-2,-5.589938164E-4,1.783400774E-4,1.240544949E-2
1.475870333E0,7.183669880E-3,1.739312768E-2,4.150294284E-2,4.556994918E-2
1.485865333E0,2.043601871E-4,1.423504651E-2,4.109832466E-2,4.349425941E-2
1.495861333E0,2.963968232E-2,1.707270026E-2,4.603980660E-2,5.735548496E-2
1.505857333E0,4.803670384E-2,1.857134163E-2,5.362889866E-2,7.435373842E-2
1.515852333E0,4.623736940E-2,9.740291834E-3,3.280988733E-2,5.752613598E-2
1.525848333E0,4.151274607E-2,-9.563705921E-3,-2.495591640E-3,4.267318285E-2
1.535844333E0,1.771633253E-2,-7.759255171E-3,-4.763960481E-2,5.141601331E-2
1.545840333E0,-7.966246605E-3,3.458043337E-3,-4.709464431E-2,4.788866955E-2
1.555835333E0,-1.275643185E-2,2.513718009E-2,-3.238012612E-2,4.293107201E-2
1.565831333E0,2.124373846E-2,2.661944926E-2,-2.161073347E-2,4.033503816E-2
1.575827333E0,3.081343777E-2,1.538051605E-2,-3.908872800E-3,3.465988327E-2
1.585822333E0,5.248058774E-2,-2.892617583E-3,-1.981630521E-3,5.259758726E-2
1.595818333E0,7.061090313E-2,-3.506575227E-3,4.196896593E-2,8.221672465E-2
1.605814333E0,5.210585430E-2,1.054720759E-2,7.998698652E-2,9.604260332E-2
1.615810333E0,4.490164608E-2,1.398770928E-2,9.250645995E-2,1.037750402E-1
1.625805333E0,3.856984243E-2,5.605725646E-3,6.314815661E-2,7.420745642E-2
1.635801333E0,3.208433010E-2,5.746643543E-3,7.792526742E-2,8.446760001E-2
1.645797333E0,1.615293324E-2,1.606990278E-2,4.876460910E-2,5.382514401E-2
1.655792333E0,5.112498388E-2,1.276037872E-2,3.163343668E-3,5.278823718E-2
1.665788333E0,6.770505622E-2,1.875085115E-2,-1.983492494E-2,7.299995414E-2
1.675784333E0,7.269485079E-2,2.834145427E-2,-4.134331386E-2,8.830090012E-2
1.685780333E0,5.314066529E-2,1.637571216E-2,8.255683780E-3,5.621610598E-2
1.695776333E0,4.770999067E-2,1.265103579E-2,5.117425581E-2,7.109920093E-2
1.705772333E0,4.184479482E-2,3.548675179E-3,5.660631915E-2,7.048301438E-2
1.715768333E0,5.326009467E-2,-6.607353687E-3,1.464727521E-2,5.563126350E-2
1.725764333E0,6.847038366E-2,1.526357174E-2,-2.462146481E-2,7.434639594E-2
1.735759333E0,7.216260798E-2,1.259373307E-2,-5.466970305E-2,9.140470740E-2
1.745755333E0,4.635080539E-2,2.265094399E-2,-2.196505646E-2,5.607072435E-2
1.755751333E0,5.750897393E-2,2.896535218E-2,3.543588102E-2,7.349813176E-2
1.765746333E0,5.367056921E-2,1.627514005E-2,8.229020476E-2,9.958457703E-2
1.775742333E0,5.043830149E-2,8.226447701E-3,5.295997719E-2,7.359657521E-2
1.785738333E0,2.368465863E-2,1.245106101E-2,6.193946404E-3,2.746555929E-2
1.795734333E0,3.423398584E-3,2.761639953E-3,-3.582004309E-3,5.672483403E-3
1.805729333E0,-7.564542890E-3,-7.379770875E-3,-2.519272864E-2,2.731953337E-2
1.815725333E0,-1.269890986E-2,-9.002957940E-3,-2.474776466E-2,2.923640572E-2
1.825721333E0,-9.014871642E-3,-3.163928390E-3,-2.631947796E-2,2.799987989E-2
1.835716333E0,4.714098349E-3,2.646508276E-2,-1.311521335E-3,2.691362884E-2
1.845712333E0,3.290337883E-2,3.770050764E-2,4.039666791E-2,6.431058539E-2
1.855708333E0,4.809714943E-2,3.517743409E-2,4.222508311E-2,7.303249480E-2
1.865704333E0,5.030030720E-2,1.917652845E-2,4.936688145E-2,7.304073611E-2
1.875699333E0,5.726587594E-2,-8.657972217E-3,3.637611330E-2,6.839270903E-2
1.885695333E0,2.451167420E-2,-1.000809431E-2,3.204508066E-2,4.156767155E-2
1.895691333E0,3.029537447E-2,-5.214546919E-3,2.376950721E-2,3.885859862E-2
1.905686333E0,3.038220562E-2,2.424255610E-3,2.054886083E-2,3.675882364E-2
1.915682333E0,3.350739621E-2,3.146503687E-2,7.814794583E-3,4.662472692E-2
1.925678333E0,2.776747696E-2,2.457350850E-2,2.293978731E-2,4.360187999E-2
1.935674333E0,1.218004256E-2,1.351291537E-2,2.274097284E-2,2.912222802E-2
1.945669333E0,2.748154812E-2,1.998578310E-2,1.573895951E-2,3.744838928E-2
1.955665333E0,5.024139650E-2,7.004964352E-4,-1.310128053E-2,5.192621851E-2
1.965661333E0,7.200385608E-2,7.455784678E-3,-3.934066077E-2,8.238829774E-2
1.975656333E0,7.551255092E-2,-8.531087637E-3,-4.851434827E-2,9.015856471E-2
1.985652333E0,6.448747963E-2,-1.809420884E-2,-1.705983639E-2,6.911637606E-2
1.995648333E0,4.842371643E-2,2.982079983E-5,2.276964247E-2,5.350994132E-2
2.005644333E0,3.981756516E-2,1.291883826E-2,4.193857868E-2,5.925520449E-2
2.015639333E0,2.275970221E-2,2.580317795E-2,7.680025399E-2,8.415513680E-2
2.025635333E0,-2.081462592E-3,4.258059382E-2,3.720407903E-2,5.658253223E-2
2.035631333E0,-8.187052086E-3,1.580736279E-2,4.681856437E-3,1.840707256E-2
2.045626333E0,-1.665170074E-2,-2.575113773E-3,-3.094172934E-2,3.523210131E-2
2.055622333E0,4.111615866E-3,-2.410807014E-3,-2.186449349E-2,2.237796798E-2
2.065618333E0,3.712324128E-2,-1.661661744E-2,1.545185208E-2,4.350869742E-2
2.075614333E0,4.503401242E-2,1.182540894E-2,4.493820031E-2,6.470969339E-2
2.085609333E0,5.416487820E-2,2.979858041E-2,4.814830343E-2,7.835846188E-2
2.095605333E0,5.043048084E-2,1.722765148E-2,3.832089722E-2,6.563929111E-2
2.105601333E0,2.078414731E-2,1.901514530E-2,3.454300205E-2,4.457326016E-2
2.115597333E0,2.470762901E-2,5.219809413E-3,6.607262325E-4,2.526162902E-2
2.125592333E0,2.881222822E-2,2.083947659E-3,-1.811476545E-3,2.894423570E-2
2.135588333E0,2.570552945E-2,1.391812742E-2,-1.935019076E-2,3.505593242E-2
2.145584333E0,4.507962070E-2,6.601506472E-3,-3.073178689E-2,5.495629915E-2
2.155579333E0,5.661215723E-2,-6.261783242E-3,-4.332962215E-2,7.156537173E-2
2.165575333E0,7.187682532E-2,3.316540718E-3,-2.292516927E-2,7.551715597E-2
2.175571333E0,8.566879906E-2,4.982997179E-3,-1.641840597E-2,8.737011759E-2
2.185567333E0,7.917941295E-2,1.592547655E-2,3.054175238E-2,8.634696796E-2
2.195562333E0,5.769849680E-2,3.225733459E-2,5.209692816E-2,8.416496951E-2
2.205558333E0,2.044457026E-2,2.150196612E-2,5.102922658E-2,5.902793378E-2
2.215554333E0,-3.434142843E-3,1.313693941E-2,4.262443881E-2,4.473494493E-2
2.225549333E0,-2.682446726E-2,-2.104412913E-3,7.182837565E-2,7.670264758E-2
2.235545333E0,-3.014926717E-2,-1.062205195E-2,5.765297075E-2,6.592170610E-2
2.245541333E0,-3.096904680E-2,9.143875837E-3,5.341607829E-2,6.241770378E-2
2.255537333E0,-1.745028421E-3,2.407298684E-3,1.132371783E-2,1.170755298E-2
2.265532333E0,1.134367146E-2,1.213472664E-2,-2.757371485E-2,3.219068535E-2
2.275528333E0,3.066711120E-2,1.377253175E-2,-5.087663253E-2,6.098021054E-2
2.285524333E0,2.235712141E-2,-3.010146618E-3,-4.876402438E-2,5.372924654E-2
2.295519333E0,3.545612700E-2,9.833262563E-3,-2.955593009E-2,4.719515863E-2
2.305515333E0,4.477965854E-2,1.460868359E-2,-1.863567014E-2,5.065490753E-2
2.315511333E0,6.293752894E-2,1.595178902E-2,8.829295635E-4,6.493359444E-2
2.325507333E0,6.491936959E-2,2.239775956E-2,1.278609733E-2,6.985462380E-2
2.335502333E0,5.764382534E-2,3.093177080E-3,5.698929350E-2,8.111817255E-2
2.345498333E0,4.676237628E-2,3.986631632E-3,8.116578519E-2,9.375765437E-2
2.355494333E0,3.823560096E-2,1.042207718E-2,7.180496852E-2,8.201545207E-2
2.365489333E0,1.872651212E-2,9.653753042E-3,5.679048817E-2,6.057257424E-2
2.375485333E0,-2.271416701E-2,1.592840016E-2,1.519573490E-2,3.163159297E-2
2.385481333E0,-4.285241626E-2,1.935545325E-2,-1.543897907E-2,4.949065796E-2
2.395477333E0,-4.144908451E-2,3.040552139E-5,-3.710700612E-2,5.563234162E-2
2.405472333E0,-2.496337160E-2,-8.946239948E-4,-2.779590905E-2,3.737088216E-2
2.415468333E0,8.626762703E-3,-6.350076199E-4,-7.673291964E-3,1.156303070E-2
2.425464333E0,3.809175946E-2,9.770697355E-4,-1.173418324E-2,3.987013745E-2
2.435459333E0,4.318504974E-2,1.845381260E-2,2.590316534E-3,4.703404576E-2
2.445455333E0,8.291417576E-2,2.066055179E-2,7.209041314E-3,8.575307119E-2
2.455451333E0,8.365640670E-2,1.925605059E-2,2.853441238E-2,9.046216091E-2
2.465447333E0,6.741503432E-2,3.029208541E-2,6.172028482E-2,9.629013890E-2
2.475442333E0,2.527130060E-2,1.603131115E-2,1.178172932E-1,1.215588588E-1
2.485438333E0,-1.297131702E-2,-1.994309843E-2,3.847232183E-2,4.523385665E-2
2.495434333E0,-5.115933627E-2,4.167427540E-2,4.455167195E-2,7.961704837E-2
2.505429333E0,-4.315362096E-2,1.214817524E-2,5.049363077E-2,6.752347674E-2
2.515425333E0,5.130858645E-3,-2.052255750E-2,-3.427753846E-2,4.027965640E-2
2.525421333E0,4.999603271E-2,3.766483963E-2,7.548755407E-4,6.260042546E-2
2.535417333E0,7.601292640E-2,-2.554590046E-2,-3.673396289E-2,8.820397973E-2
2.545412333E0,1.069196273E-1,1.424498677E-2,-5.324298243E-2,1.202894073E-1
2.555408333E0,1.314687967E-1,5.433992922E-2,-3.410271585E-2,1.462869360E-1
2.565404333E0,1.083299026E-1,-9.443253279E-3,-1.131143868E-2,1.093274507E-1
2.575400333E0,1.212090529E-1,3.874774396E-2,5.195368965E-2,1.374489288E-1
2.585395333E0,8.401418321E-2,1.315740466E-2,8.219956378E-2,1.182720109E-1
2.595391333E0,9.435213357E-2,-1.407424808E-2,9.345838666E-2,1.335472935E-1
2.605387333E0,5.744903997E-2,3.504294813E-2,8.746206701E-2,1.103540374E-1
2.615382333E0,3.273753718E-2,2.897295356E-3,5.087896228E-2,6.057069806E-2
2.625378333E0,3.709232412E-2,3.071542382E-3,-6.055385666E-3,3.770865387E-2
2.635374333E0,5.595639199E-3,1.296678543E-2,-6.052043617E-2,6.214637476E-2
2.645370333E0,1.719717287E-2,-2.159259796E-2,-3.640828212E-2,4.568967113E-2
2.655365333E0,7.605400309E-3,1.702884614E-2,-8.323044618E-2,8.529437781E-2
2.665361333E0,-3.833244547E-2,8.058047891E-3,-1.720660150E-2,4.278288965E-2
2.675357333E0,-3.242383406E-2,1.675636590E-2,-5.409142256E-2,6.525306742E-2
2.685352333E0,-2.824555993E-2,7.913036942E-3,-9.929741621E-3,3.096817040E-2
2.695348000E0,-1.922155201E-2,-1.156579256E-2,1.684348941E-2,2.805242868E-2
2.705344000E0,2.736957394E-2,5.021004081E-3,8.299946289E-2,8.753979037E-2
2.715340000E0,3.259157605E-2,1.247971237E-2,6.335691134E-2,7.233292657E-2
2.725335000E0,1.883190818E-2,2.577569604E-2,6.282306056E-2,7.046817870E-2
2.735331000E0,4.388371892E-2,1.854912221E-2,2.001384060E-2,5.167595705E-2
2.745327000E0,-2.543092959E-2,1.700545728E-2,2.975939493E-2,4.267949559E-2
2.755322000E0,-2.253290333E-2,1.411108553E-2,5.212033530E-2,5.850968996E-2
2.765318000E0,-5.372560613E-2,-6.759381294E-3,4.552116771E-2,7.074112453E-2
2.775314000E0,-4.254068658E-2,1.263700247E-2,-7.692012191E-3,4.503965916E-2
2.785310000E0,-3.290864132E-2,1.615878046E-2,-7.738780780E-3,3.746963554E-2
2.795305000E0,-3.489033580E-2,2.033076882E-3,-8.198731899E-2,8.912569444E-2
2.805301000E0,-1.449086219E-3,1.123951793E-2,-6.428078055E-2,6.527208716E-2
2.815297000E0,4.039088465E-2,-1.322874069E-2,-9.346073468E-2,1.026709894E-1
2.825292000E0,7.399505228E-2,-6.125543118E-3,-8.803628186E-2,1.151658672E-1
2.835288000E0,1.007907220E-1,1.400700510E-2,-1.050978633E-1,1.462891886E-1
2.845284000E0,1.148403387E-1,1.288492441E-2,-3.303442955E-2,1.201898423E-1
2.855280000E0,8.333349422E-2,3.960786939E-2,4.958146513E-2,1.047452923E-1
2.865275000E0,4.842473969E-2,2.248312891E-2,1.553137422E-1,1.642339947E-1
2.875271000E0,1.402169622E-2,1.568398654E-2,1.853052807E-1,1.864956902E-1
2.885267000E0,1.427539229E-2,1.593015432E-2,1.426574439E-1,1.442522199E-1
2.895262000E0,-7.768099084E-3,1.217390299E-3,1.289755348E-1,1.292149914E-1
2.905258000E0,5.583871678E-3,1.986825407E-2,1.459054808E-2,2.527471535E-2
2.915254000E0,1.016268007E-2,4.546794891E-3,-8.400929530E-2,8.474382047E-2
2.925250000E0,-1.383158863E-3,-7.475665212E-3,-1.174489278E-1,1.176947294E-1
2.935245000E0,-2.517226338E-3,3.686669469E-3,-1.233622169E-1,1.234429606E-1
2.945241000E0,7.085948288E-3,2.853441238E-3,-9.105576575E-2,9.137562731E-2
2.955237000E0,5.614496469E-3,1.625350535E-2,-3.344198048E-2,3.760405650E-2
2.965232000E0,1.972397402E-2,3.264500499E-2,3.855186224E-2,5.423078078E-2
2.975228000E0,3.668046087E-2,1.206514478E-2,8.214987159E-2,9.077238198E-2
2.985224000E0,6.619157754E-2,1.259197891E-2,1.156427320E-1,1.338399205E-1
2.995220000E0,7.806822270E-2,6.979821324E-3,1.259852779E-1,1.483767352E-1
3.005215000E0,5.986196660E-2,1.288141608E-2,1.420598493E-1,1.546944948E-1
3.015211000E0,2.262675114E-2,4.632982850E-2,1.044593291E-1,1.164910911E-1
3.025207000E0,-2.045743413E-2,2.019452870E-2,8.484835248E-2,8.958553744E-2
3.035203000E0,-4.955135196E-2,2.565348923E-2,5.246589661E-2,7.659052355E-2
