"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.651941246E1,6.695181059E-1,6.201439977E-2,1.607107222E-1,6.913235250E-1
1.661936946E1,7.909719379E-1,3.688715994E-2,2.630896211E-2,7.922685344E-1
1.671932558E1,7.806059939E-1,6.371126175E-2,1.757871830E-1,8.026867237E-1
1.681928258E1,6.631938305E-1,4.146611452E-2,1.027238846E-2,6.645682941E-1
1.691923958E1,4.194446792E-1,5.888496995E-2,1.364810391E-1,4.450037670E-1
1.701919658E1,1.616605658E-1,7.024026275E-2,-5.328450680E-2,1.841387296E-1
1.711915458E1,-1.409690604E-1,8.166045964E-2,6.784524322E-2,1.764757311E-1
1.721911158E1,-4.006429939E-1,4.343838036E-2,-1.071882337E-1,4.170024207E-1
1.731906858E1,-6.256357026E-1,2.646215916E-2,-3.621180654E-3,6.262055503E-1
1.741902558E1,-7.179488390E-1,-2.150138140E-2,-1.560616010E-1,7.350292975E-1
1.751898258E1,-7.221022625E-1,-1.733640969E-2,-1.786968489E-2,7.225313517E-1
1.761893958E1,-5.911024124E-1,-1.189791441E-2,-1.087687270E-1,6.011441244E-1
1.771889671E1,-3.780585985E-1,4.383131325E-2,5.337923169E-3,3.806284032E-1
1.781885371E1,-9.839636028E-2,5.527957678E-2,-4.548373640E-2,1.216817390E-1
1.791881071E1,1.903169292E-1,8.130670309E-2,7.377782822E-2,2.197145454E-1
1.801876771E1,4.779136198E-1,7.622664213E-2,3.101830046E-2,4.849474857E-1
1.811872471E1,6.773630228E-1,7.154126823E-2,8.984830658E-2,6.870309570E-1
1.821868171E1,7.846111905E-1,5.049129188E-2,9.696086884E-2,7.921903186E-1
1.831863871E1,7.712306415E-1,4.399678946E-2,8.567808151E-2,7.772214314E-1
1.841859571E1,6.392149839E-1,4.637368262E-2,9.111249288E-2,6.473390151E-1
1.851855271E1,4.244822017E-1,5.976029813E-2,3.865361293E-2,4.304074054E-1
1.861850971E1,1.476163213E-1,7.587347031E-2,5.864991188E-2,1.760317414E-1
1.871846671E1,-1.418761097E-1,7.518759191E-2,-4.380090773E-2,1.664347440E-1
