t / s	f_1
0,0           
110,2         0,0170
110,3         0,0138
110,4         0,0087
110,5         0,0034
110,6         0,0003
110,7         0,0006
110,8         0,0044
110,9         0,0096
111,0         0,0146
111,1         0,0168
111,2         0,0153
111,3         0,0109
111,4         0,0053
111,5         0,0013
111,6         0,0000
111,7         0,0024
111,8         0,0073
111,9         0,0125
112,0         0,0160
112,1         0,0159
112,2         0,0126
112,3         0,0077
112,4         0,0027
112,5         0,0001
112,6         0,0009
112,7         0,0047
112,8         0,0103
112,9         0,0148
113,0         0,0163
113,1         0,0146
113,2         0,0099
113,3         0,0046
113,4         0,0009
113,5         0,0002
113,6         0,0030
113,7         0,0079
113,8         0,0127
113,9         0,0156
114,0         0,0155
114,1         0,0120
114,2         0,0067
114,3         0,0023
114,4         0,0000
114,5         0,0014
114,6         0,0058
114,7         0,0110
114,8         0,0145
114,9         0,0159
115,0         0,0138
115,1         0,0087
115,2         0,0039
115,3         0,0005
115,4         0,0004
115,5         0,0033
115,6         0,0082
115,7         0,0134
115,8         0,0159
115,9         0,0147
116,0         0,0111
116,1         0,0059
116,2         0,0015
116,3         0,0000
116,4         0,0018
116,5         0,0062
116,6         0,0113
116,7         0,0148
116,8         0,0154
116,9         0,0127
117,0         0,0078
117,1         0,0030
117,2         0,0003
117,3         0,0006
117,4         0,0040
117,5         0,0091
117,6         0,0135
117,7         0,0155
117,8         0,0139
117,9         0,0100
118,0         0,0052
118,1         0,0011
118,2         0,0001
118,3         0,0022
118,4         0,0068
118,5         0,0119
118,6         0,0150
118,7         0,0148
118,8         0,0116
118,9         0,0072
119,0         0,0025
119,1         0,0001
119,2         0,0009
119,3         0,0045
119,4         0,0095
119,5         0,0137
119,6         0,0151
119,7         0,0134
119,8         0,0092
119,9         0,0043
120,0         0,0008
120,1         0,0002
120,2         0,0027
120,3         0,0075
120,4         0,0120
120,5         0,0146
120,6         0,0144
120,7         0,0109
120,8         0,0062
120,9         0,0019
121,0         0,0000
121,1         0,0013
121,2         0,0052
121,3         0,0102
121,4         0,0135
121,5         0,0146
121,6         0,0129
121,7         0,0083
121,8         0,0036
121,9         0,0005
122,0         0,0004
122,1         0,0034
122,2         0,0078
122,3         0,0121
122,4         0,0146
122,5         0,0138
122,6         0,0102
122,7         0,0053
122,8         0,0014
122,9         0,0000
123,0         0,0017
123,1         0,0058
123,2         0,0103
123,3         0,0141
123,4         0,0143
123,5         0,0116
123,6         0,0074
123,7         0,0029
123,8         0,0002
123,9         0,0006
124,0         0,0039
124,1         0,0085
124,2         0,0126
124,3         0,0144
124,4         0,0130
124,5         0,0092
124,6         0,0045
124,7         0,0010
124,8         0,0000
124,9         0,0021
125,0         0,0066
125,1         0,0108
125,2         0,0138
125,3         0,0140
125,4         0,0109
125,5         0,0065
125,6         0,0023
125,7         0,0001
125,8         0,0009
125,9         0,0044
126,0         0,0088
126,1         0,0127
126,2         0,0142
126,3         0,0122
126,4         0,0083
126,5         0,0038
126,6         0,0007
126,7         0,0002
126,8         0,0026
126,9         0,0070
127,0         0,0112
127,1         0,0136
127,2         0,0133
127,3         0,0101
127,4         0,0057
127,5         0,0017
127,6         0,0000
127,7         0,0012
127,8         0,0051
127,9         0,0096
128,0         0,0126
128,1         0,0134
128,2         0,0117
128,3         0,0075
128,4         0,0032
128,5         0,0004
128,6         0,0003
128,7         0,0030
128,8         0,0073
128,9         0,0115
129,0         0,0137
129,1         0,0126
129,2         0,0093
129,3         0,0047
129,4         0,0014
129,5         0,0000
129,6         0,0018
129,7         0,0055
129,8         0,0097
129,9         0,0131
130,0         0,0131
130,1         0,0106
130,2         0,0067
130,3         0,0025
130,4         0,0002
130,5         0,0006
130,6         0,0036
130,7         0,0078
130,8         0,0117
130,9         0,0132
131,0         0,0120
131,1         0,0086
131,2         0,0041
131,3         0,0009
131,4         0,0000
131,5         0,0020
131,6         0,0062
131,7         0,0101
131,8         0,0126
131,9         0,0128
132,0         0,0102
132,1         0,0058
132,2         0,0020
132,3         0,0001
132,4         0,0009
132,5         0,0040
132,6         0,0083
132,7         0,0121
132,8         0,0129
132,9         0,0112
133,0         0,0078
133,1         0,0035
133,2         0,0006
133,3         0,0001
133,4         0,0025
133,5         0,0066
133,6         0,0104
133,7         0,0129
133,8         0,0123
133,9         0,0089
134,0         0,0051
134,1         0,0016
134,2         0,0000
134,3         0,0013
134,4         0,0045
134,5         0,0087
134,6         0,0119
134,7         0,0125
134,8         0,0106
134,9         0,0071
135,0         0,0029
135,1         0,0003
135,2         0,0003
135,3         0,0029
135,4         0,0070
135,5         0,0108
135,6         0,0126
135,7         0,0114
135,8         0,0086
135,9         0,0045
136,0         0,0011
136,1         0,0000
136,2         0,0015
136,3         0,0051
136,4         0,0091
136,5         0,0121
136,6         0,0120
136,7         0,0098
136,8         0,0063
136,9         0,0023
137,0         0,0002
137,1         0,0005
137,2         0,0035
137,3         0,0074
137,4         0,0108
137,5         0,0123
137,6         0,0112
137,7         0,0077
137,8         0,0038
137,9         0,0008
138,0         0,0001
138,1         0,0020
138,2         0,0057
138,3         0,0095
138,4         0,0116
138,5         0,0118
138,6         0,0096
138,7         0,0054
138,8         0,0018
138,9         0,0001
139,0         0,0009
139,1         0,0040
139,2         0,0078
139,3         0,0108
139,4         0,0121
139,5         0,0106
139,6         0,0070
139,7         0,0032
139,8         0,0005
139,9         0,0002
140,0         0,0023
140,1         0,0059
140,2         0,0097
140,3         0,0117
140,4         0,0113
140,5         0,0086
140,6         0,0047
140,7         0,0014
140,8         0,0000
140,9         0,0012
141,0         0,0043
141,1         0,0082
141,2         0,0109
141,3         0,0118
141,4         0,0098
141,5         0,0063
141,6         0,0026
141,7         0,0003
141,8         0,0003
141,9         0,0027
142,0         0,0065
142,1         0,0101
142,2         0,0114
142,3         0,0107
142,4         0,0079
142,5         0,0041
142,6         0,0010
142,7         0,0000
142,8         0,0015
142,9         0,0048
143,0         0,0086
143,1         0,0110
143,2         0,0114
143,3         0,0092
143,4         0,0055
143,5         0,0020
143,6         0,0001
143,7         0,0005
143,8         0,0032
143,9         0,0068
144,0         0,0100
144,1         0,0112
144,2         0,0101
144,3         0,0071
144,4         0,0035
144,5         0,0008
144,6         0,0001
144,7         0,0018
144,8         0,0053
144,9         0,0088
145,0         0,0109
145,1         0,0111
145,2         0,0085
145,3         0,0047
145,4         0,0016
145,5         0,0000
145,6         0,0008
145,7         0,0036
145,8         0,0071
145,9         0,0102
146,0         0,0111
146,1         0,0096
146,2         0,0064
146,3         0,0029
146,4         0,0005
146,5         0,0002
146,6         0,0022
146,7         0,0056
146,8         0,0090
146,9         0,0108
147,0         0,0103
147,1         0,0076
147,2         0,0043
147,3         0,0013
147,4         0,0000
147,5         0,0010
147,6         0,0040
147,7         0,0078
147,8         0,0100
147,9         0,0105
148,0         0,0092
148,1         0,0059
148,2         0,0024
148,3         0,0002
148,4         0,0004
148,5         0,0026
148,6         0,0060
148,7         0,0090
148,8         0,0107
148,9         0,0100
149,0         0,0070
149,1         0,0036
149,2         0,0009
149,3         0,0000
149,4         0,0015
149,5         0,0045
149,6         0,0077
149,7         0,0100
149,8         0,0103
149,9         0,0083
150,0         0,0052
150,1         0,0020
150,2         0,0001
150,3         0,0006
150,4         0,0030
150,5         0,0064
150,6         0,0094
150,7         0,0103
150,8         0,0093
150,9         0,0064
151,0         0,0030
151,1         0,0006
151,2         0,0001
151,3         0,0017
151,4         0,0049
151,5         0,0081
151,6         0,0100
151,7         0,0099
151,8         0,0076
151,9         0,0044
152,0         0,0015
152,1         0,0000
152,2         0,0008
152,3         0,0033
152,4         0,0066
152,5         0,0093
152,6         0,0101
152,7         0,0089
152,8         0,0058
152,9         0,0026
153,0         0,0004
153,1         0,0002
153,2         0,0021
153,3         0,0054
153,4         0,0082
153,5         0,0098
153,6         0,0096
153,7         0,0071
153,8         0,0039
153,9         0,0011
154,0         0,0000
154,1         0,0010
154,2         0,0038
154,3         0,0071
154,4         0,0095
154,5         0,0098
154,6         0,0081
154,7         0,0051
154,8         0,0021
154,9         0,0002
